1,肖申克的救赎,9.6
2,霸王别姬,9.6
3,这个杀手不太冷,9.4
4,阿甘正传,9.4
5,美丽人生,9.5
6,泰坦尼克号,9.3
7,千与千寻,9.3
8,辛德勒的名单,9.5
9,盗梦空间,9.3
10,忠犬八公的故事,9.3
11,机器人总动员,9.3
12,三傻大闹宝莱坞,9.2
13,海上钢琴师,9.2
14,放牛班的春天,9.3
15,楚门的世界,9.2
16,大话西游之大圣娶亲,9.2
17,星际穿越,9.2
18,龙猫,9.2
19,教父,9.3
20,熔炉,9.3
21,无间道,9.2
22,疯狂动物城,9.2
23,当幸福来敲门,9.0
24,怦然心动,9.0
25,触不可及,9.2
26,蝙蝠侠：黑暗骑士,9.1
27,乱世佳人,9.2
28,活着,9.2
29,控方证人,9.6
30,少年派的奇幻漂流,9.0
31,指环王3：王者无敌,9.2
32,天堂电影院,9.2
33,鬼子来了,9.2
34,天空之城,9.1
35,十二怒汉,9.4
36,摔跤吧！爸爸,9.0
37,飞屋环游记,9.0
38,大话西游之月光宝盒,9.0
39,搏击俱乐部,9.0
40,哈尔的移动城堡,9.0
41,罗马假日,9.0
42,闻香识女人,9.0
43,末代皇帝,9.2
44,辩护人,9.2
45,窃听风暴,9.1
46,寻梦环游记,9.0
47,素媛,9.2
48,两杆大烟枪,9.1
49,死亡诗社,9.0
50,飞越疯人院,9.1
51,指环王2：双塔奇兵,9.0
52,教父2,9.2
53,V字仇杀队,8.9
54,指环王1：魔戒再现,9.0
55,狮子王,9.0
56,美丽心灵,9.0
57,饮食男女,9.1
58,海豚湾,9.3
59,情书,8.9
60,钢琴家,9.1
61,本杰明·巴顿奇事,8.8
62,看不见的客人,8.8
63,美国往事,9.1
64,黑客帝国,8.9
65,哈利·波特与魔法石,8.9
66,西西里的美丽传说,8.8
67,大闹天宫,9.3
68,小鞋子,9.2
69,拯救大兵瑞恩,9.0
70,让子弹飞,8.8
71,致命魔术,8.8
72,七宗罪,8.8
73,音乐之声,9.0
74,被嫌弃的松子的一生,8.9
75,低俗小说,8.8
76,猫鼠游戏,8.9
77,沉默的羔羊,8.8
78,天使爱美丽,8.7
79,勇敢的心,8.9
80,蝴蝶效应,8.8
81,春光乍泄,8.9
82,剪刀手爱德华,8.7
83,心灵捕手,8.8
84,穿条纹睡衣的男孩,9.0
85,禁闭岛,8.7
86,布达佩斯大饭店,8.8
87,入殓师,8.8
88,阿凡达,8.7
89,幽灵公主,8.9
90,阳光灿烂的日子,8.8
91,致命ID,8.7
92,加勒比海盗,8.7
93,第六感,8.8
94,摩登时代,9.2
95,断背山,8.7
96,重庆森林,8.7
97,狩猎,9.1
98,玛丽和马克思,8.9
99,喜剧之王,8.7
100,告白,8.7
101,消失的爱人,8.7
102,大鱼,8.8
103,一一,9.0
104,阳光姐妹淘,8.8
105,射雕英雄传之东成西就,8.7
106,爱在黎明破晓前,8.8
107,小森林 夏秋篇,9.0
108,甜蜜蜜,8.8
109,请以你的名字呼唤我,8.8
110,侧耳倾听,8.8
111,驯龙高手,8.7
112,红辣椒,8.9
113,倩女幽魂,8.7
114,恐怖直播,8.7
115,风之谷,8.8
116,超脱,8.8
117,爱在日落黄昏时,8.8
118,菊次郎的夏天,8.8
119,上帝之城,8.9
120,小森林 冬春篇,9.0
121,哈利·波特与死亡圣器(下),8.7
122,幸福终点站,8.7
123,杀人回忆,8.7
124,7号房的礼物,8.8
125,借东西的小人阿莉埃蒂,8.7
126,蝙蝠侠：黑暗骑士崛起,8.7
127,神偷奶爸,8.5
128,萤火之森,8.8
129,唐伯虎点秋香,8.5
130,超能陆战队,8.6
131,何以为家,9.0
132,怪兽电力公司,8.6
133,无人知晓,9.1
134,岁月神偷,8.7
135,电锯惊魂,8.7
136,七武士,9.2
137,谍影重重3,8.8
138,真爱至上,8.6
139,疯狂原始人,8.7
140,喜宴,8.9
141,英雄本色,8.7
142,东邪西毒,8.6
143,血战钢锯岭,8.7
144,萤火虫之墓,8.7
145,贫民窟的百万富翁,8.5
146,黑天鹅,8.5
147,记忆碎片,8.6
148,傲慢与偏见,8.5
149,时空恋旅人,8.7
150,心迷宫,8.7
151,海蒂和爷爷,9.1
152,纵横四海,8.8
153,荒蛮故事,8.8
154,教父3,8.8
155,雨人,8.7
156,达拉斯买家俱乐部,8.7
157,完美的世界,9.1
158,玩具总动员3,8.8
159,花样年华,8.6
160,卢旺达饭店,8.9
161,海边的曼彻斯特,8.6
162,被解救的姜戈,8.6
163,三块广告牌,8.7
164,恋恋笔记本,8.5
165,你看起来好像很好吃,8.8
166,海洋,9.0
167,虎口脱险,8.9
168,你的名字。,8.4
169,头脑特工队,8.7
170,二十二,8.7
171,无敌破坏王,8.7
172,我是山姆,8.9
173,冰川时代,8.5
174,雨中曲,9.0
175,燃情岁月,8.8
176,爆裂鼓手,8.6
177,未麻的部屋,8.9
178,人工智能,8.6
179,模仿游戏,8.6
180,一个叫欧维的男人决定去死,8.8
181,穿越时空的少女,8.6
182,忠犬八公物语,9.1
183,魂断蓝桥,8.8
184,房间,8.8
185,猜火车,8.5
186,魔女宅急便,8.6
187,恐怖游轮,8.4
188,完美陌生人,8.5
189,罗生门,8.7
190,哪吒闹海,8.9
191,海街日记,8.7
192,阿飞正传,8.5
193,黑客帝国3：矩阵革命,8.6
194,香水,8.5
195,朗读者,8.5
196,浪潮,8.7
197,天书奇谭,9.1
